,y
0,1
1,1
2,1
3,3
4,3
5,3
6,1
7,1
8,2
9,1
10,1
11,3
12,3
13,2
14,3
15,2
16,2
17,2
18,1
19,1
20,2
21,3
22,3
23,3
24,1
25,1
26,1
27,3
28,3
29,3
30,2
31,1
32,1
33,2
34,2
35,3
36,2
37,1
38,2
39,1
40,3
41,2
42,1
43,2
44,3
45,1
46,2
47,2
48,3
49,1
50,1
51,2
52,1
53,1
54,1
55,2
56,3
57,2
58,2
59,2
60,2
61,2
62,2
63,3
64,1
65,2
66,3
67,2
68,1
69,1
70,1
71,2
72,1
73,1
74,1
75,1
76,1
77,2
78,2
79,1
80,3
81,3
82,2
83,1
84,3
85,2
86,2
87,3
88,3
89,3
90,1
91,3
92,3
93,2
94,1
95,3
96,3
97,1
98,1
99,1
100,2
101,3
102,3
103,3
104,2
105,1
106,3
107,1
108,3
109,3
110,3
111,2
112,2
113,2
114,1
115,2
116,3
117,3
118,1
119,3
120,1
121,1
122,2
123,2
124,1
125,1
126,1
127,1
128,2
129,3
130,1
131,1
132,1
133,1
134,1
135,3
136,3
137,1
138,3
139,2
140,3
141,1
142,1
143,2
144,3
145,3
146,3
147,3
148,2
149,3
150,1
151,3
152,3
153,1
154,3
155,1
156,1
157,3
158,1
159,2
160,1
161,3
162,3
163,3
164,1
165,1
166,2
167,1
168,2
169,2
170,3
171,3
172,3
173,1
174,1
175,1
176,3
177,2
178,2
179,1
180,2
181,2
182,1
183,1
184,1
185,2
186,1
187,2
188,1
189,1
190,1
191,2
192,1
193,2
194,1
195,2
196,1
197,1
198,1
199,2
200,2
201,3
202,1
203,1
204,1
205,1
206,2
207,3
208,2
209,3
210,3
211,2
212,3
213,3
214,1
215,2
216,1
217,1
218,3
219,3
220,3
221,3
222,1
223,3
224,2
225,2
226,1
227,3
228,3
229,1
230,2
231,2
232,1
233,2
234,2
235,1
236,1
237,2
238,3
239,2
240,3
241,1
242,3
243,3
244,3
245,3
246,1
247,1
248,3
249,3
250,3
251,3
252,1
253,1
254,2
255,1
256,2
257,3
258,1
259,2
260,3
261,1
262,1
263,1
264,1
265,2
266,2
267,1
268,2
269,2
270,2
271,1
272,1
273,3
274,1
275,3
276,3
277,1
278,2
279,2
280,3
281,3
282,2
283,3
284,3
285,2
286,1
287,1
288,2
289,3
290,2
291,1
292,1
293,2
294,1
295,1
296,1
297,1
298,1
299,2
