id,y
0,1
1,1
2,1
3,3
4,1
5,1
6,1
7,1
8,2
9,3
10,1
11,1
12,2
13,1
14,3
15,1
16,3
17,3
18,1
19,1
20,2
21,1
22,2
23,1
24,1
25,1
26,1
27,1
28,3
29,3
30,1
31,1
32,1
33,1
34,3
35,3
36,2
37,1
38,3
39,1
40,1
41,3
42,1
43,1
44,1
45,1
46,1
47,3
48,3
49,1
50,1
51,2
52,1
53,1
54,1
55,3
56,1
57,3
58,1
59,3
60,1
61,1
62,1
63,3
64,1
65,3
66,3
67,3
68,1
69,1
70,3
71,2
72,1
73,1
74,1
75,1
76,1
77,2
78,3
79,1
80,1
81,3
82,3
83,1
84,1
85,3
86,1
87,1
88,3
89,3
90,1
91,2
92,2
93,1
94,1
95,3
96,3
97,1
98,1
99,1
100,3
101,1
102,1
103,2
104,1
105,1
106,3
107,1
108,1
109,1
110,3
111,2
112,2
113,1
114,1
115,1
116,3
117,3
118,1
119,1
120,1
121,1
122,1
123,3
124,1
125,3
126,1
127,3
128,1
129,1
130,3
131,3
132,1
133,1
134,3
135,3
136,1
137,1
138,3
139,3
140,1
141,1
142,3
143,2
144,1
145,1
146,1
147,1
148,1
149,3
150,1
151,1
152,3
153,3
154,1
155,1
156,1
157,1
158,1
159,3
160,3
161,3
162,3
163,3
164,1
165,1
166,3
167,1
168,3
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,3
177,1
178,3
179,3
180,2
181,2
182,1
183,1
184,1
185,3
186,1
187,1
188,1
189,1
190,1
191,2
192,1
193,1
194,2
195,1
196,1
197,1
198,1
199,3
200,1
201,1
202,1
203,3
204,1
205,1
206,1
207,3
208,1
209,1
210,1
211,1
212,3
213,3
214,1
215,1
216,1
217,1
218,3
219,1
220,2
221,3
222,3
223,3
224,1
225,1
226,1
227,1
228,2
229,1
230,3
231,1
232,1
233,1
234,3
235,1
236,3
237,2
238,1
239,1
240,3
241,1
242,3
243,2
244,1
245,1
246,2
247,1
248,3
249,3
250,3
251,2
252,1
253,1
254,1
255,1
256,1
257,3
258,2
259,1
260,2
261,2
262,1
263,1
264,1
265,3
266,1
267,3
268,1
269,3
270,2
271,1
272,3
273,1
274,1
275,1
276,3
277,1
278,2
279,3
280,1
281,2
282,2
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,2
296,1
297,1
298,3
299,1
