,y
0,3
1,1
2,1
3,3
4,3
5,3
6,1
7,1
8,2
9,3
10,1
11,3
12,3
13,2
14,3
15,2
16,1
17,2
18,1
19,1
20,2
21,3
22,3
23,3
24,1
25,1
26,1
27,3
28,3
29,3
30,3
31,1
32,1
33,1
34,1
35,1
36,2
37,1
38,2
39,1
40,3
41,1
42,1
43,2
44,3
45,1
46,2
47,2
48,3
49,1
50,2
51,2
52,1
53,3
54,3
55,2
56,3
57,2
58,2
59,2
60,2
61,2
62,1
63,3
64,1
65,2
66,3
67,3
68,1
69,3
70,1
71,2
72,3
73,1
74,1
75,1
76,1
77,2
78,2
79,1
80,3
81,3
82,2
83,1
84,3
85,2
86,2
87,3
88,3
89,3
90,1
91,3
92,2
93,1
94,1
95,3
96,3
97,1
98,3
99,3
100,2
101,3
102,3
103,3
104,3
105,3
106,3
107,2
108,3
109,3
110,3
111,1
112,2
113,2
114,1
115,2
116,1
117,3
118,2
119,3
120,3
121,1
122,2
123,1
124,1
125,1
126,1
127,3
128,2
129,3
130,1
131,1
132,3
133,1
134,1
135,3
136,3
137,1
138,3
139,1
140,3
141,1
142,1
143,2
144,3
145,1
146,3
147,3
148,2
149,3
150,1
151,1
152,3
153,1
154,2
155,1
156,1
157,3
158,1
159,2
160,1
161,2
162,3
163,3
164,1
165,1
166,2
167,3
168,2
169,2
170,1
171,3
172,3
173,1
174,1
175,1
176,3
177,3
178,1
179,2
180,2
181,2
182,3
183,1
184,1
185,2
186,1
187,3
188,1
189,1
190,1
191,2
192,1
193,1
194,1
195,2
196,1
197,1
198,3
199,2
200,2
201,2
202,1
203,1
204,1
205,1
206,2
207,1
208,2
209,1
210,3
211,2
212,3
213,3
214,1
215,2
216,1
217,1
218,3
219,3
220,3
221,1
222,2
223,3
224,2
225,2
226,1
227,1
228,1
229,3
230,1
231,2
232,3
233,2
234,2
235,1
236,1
237,2
238,3
239,3
240,3
241,1
242,2
243,3
244,3
245,3
246,1
247,1
248,3
249,3
250,3
251,1
252,3
253,1
254,2
255,1
256,2
257,3
258,1
259,1
260,3
261,2
262,1
263,1
264,1
265,3
266,3
267,1
268,2
269,3
270,2
271,1
272,1
273,1
274,1
275,1
276,3
277,1
278,2
279,2
280,3
281,2
282,3
283,3
284,3
285,3
286,1
287,1
288,2
289,1
290,2
291,1
292,1
293,2
294,1
295,1
296,1
297,1
298,1
299,2
