id,y
0,1
1,1
2,1
3,3
4,3
5,1
6,3
7,1
8,2
9,3
10,2
11,3
12,2
13,2
14,3
15,3
16,3
17,1
18,1
19,1
20,3
21,1
22,2
23,3
24,1
25,1
26,1
27,3
28,3
29,3
30,2
31,2
32,1
33,1
34,1
35,2
36,2
37,2
38,3
39,1
40,3
41,1
42,1
43,1
44,3
45,1
46,2
47,3
48,2
49,2
50,1
51,2
52,1
53,3
54,1
55,2
56,1
57,1
58,2
59,2
60,2
61,3
62,1
63,3
64,3
65,3
66,3
67,3
68,1
69,3
70,1
71,2
72,1
73,1
74,1
75,1
76,2
77,3
78,2
79,1
80,1
81,3
82,2
83,1
84,1
85,1
86,2
87,3
88,1
89,3
90,1
91,2
92,2
93,2
94,1
95,3
96,3
97,2
98,1
99,1
100,2
101,3
102,3
103,2
104,3
105,2
106,3
107,1
108,1
109,2
110,1
111,2
112,3
113,2
114,1
115,1
116,3
117,3
118,3
119,3
120,3
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,2
129,3
130,1
131,3
132,1
133,1
134,1
135,3
136,3
137,1
138,3
139,1
140,1
141,1
142,1
143,2
144,1
145,1
146,1
147,3
148,2
149,3
150,3
151,1
152,3
153,3
154,2
155,1
156,2
157,3
158,3
159,2
160,3
161,3
162,3
163,2
164,1
165,1
166,1
167,1
168,1
169,2
170,3
171,3
172,1
173,1
174,1
175,1
176,3
177,1
178,3
179,1
180,3
181,2
182,1
183,1
184,3
185,3
186,2
187,1
188,3
189,1
190,1
191,1
192,3
193,1
194,1
195,3
196,1
197,1
198,1
199,2
200,2
201,1
202,1
203,1
204,1
205,1
206,2
207,3
208,1
209,1
210,3
211,2
212,1
213,1
214,1
215,2
216,1
217,1
218,3
219,3
220,1
221,1
222,3
223,1
224,3
225,2
226,1
227,1
228,2
229,2
230,2
231,3
232,1
233,2
234,2
235,3
236,3
237,1
238,1
239,1
240,1
241,1
242,1
243,3
244,3
245,3
246,2
247,1
248,3
249,3
250,3
251,3
252,1
253,3
254,1
255,1
256,2
257,1
258,2
259,1
260,3
261,2
262,1
263,1
264,1
265,1
266,3
267,3
268,3
269,3
270,2
271,1
272,1
273,1
274,1
275,1
276,3
277,3
278,3
279,1
280,1
281,3
282,3
283,3
284,3
285,3
286,1
287,1
288,2
289,1
290,2
291,1
292,2
293,1
294,3
295,1
296,1
297,1
298,1
299,1
